en,"Can not be disabled for products with manually defined PIN codes","Cannot be disabled for products with manually defined PIN codes"
en,"Can't be disabled. The module is required by:","Cannot be disabled. The module is required by:"
en,"Can't connect to the Addons Marketplace server","Cannot connect to the Addons Marketplace server"
en,"Can't connect to the marketplace server","Cannot connect to the Marketplace server"
en,"Can't subscribe you right now. Try later","Can't subscribe you right now. Try later"
en,"Canada Post module allows to use online shipping rates calculation via Canada Post","<b>Canada Post</b> module allows you to use online shipping rates calculation via <a href=""https://www.canadapost.ca"">Canada Post</a>."
en,"Canada Post settings","Canada Post settings"
en,"CanadaPost settings","CanadaPost settings"
en,Cancel,Cancel
en,"Cancel sale","Cancel sale"
en,"Cancel sale for all","Cancel sale for all"
en,Canceled,Cancelled
en,Canceled[S],Canceled
en,Canceling,Canceling
en,"Cannot attach the file. The maximum attached file size may not exceed X MB","Cannot attach the file. The maximum attached file size may not exceed {{size}} MB"
en,"Cannot attach the file. The number of attached files may not exceed X","Cannot attach the file. The number of attached files may not exceed {{quantity}}"
